Description	Accession	Brain_MD_12		Brain_MD_61		Brain_MD_15		Brain_MD_57		Brain_MD_33		Brain_MD_64		Brain_MD_17		Brain_MD_62		Brain_MD_63		Brain_MD_32		Brain_MGlio_1		Brain_MGlio_2		Brain_MGlio_3		Brain_MGlio_4		Brain_MGlio_5		Brain_MGlio_6		Brain_MGlio_7		Brain_MGlio_8		Brain_MGlio_9		Brain_MGlio_10		Brain_Rhab_1		Brain_Rhab_2		Brain_Rhab_3		Brain_Rhab_4		Brain_Rhab_5		Brain_Rhab_6		Brain_Rhab_7		Brain_Rhab_8		Brain_Rhab_9		Brain_Rhab_10		Brain_Ncer_1		Brain_Ncer_2		Brain_Ncer_3		Brain_Ncer_4		Brain_PNET_1		Brain_PNET_2		Brain_PNET_3		Brain_PNET_4		Brain_PNET_5		Brain_PNET_6		Brain_PNET_7		Brain_PNET_8	
		MG2000040501AA/scale factor=1.0		MG2000040502AA/scale factor=2.3606		MG2000040504AA/scale factor=1.8415		MG2000040505AA/scale factor=1.2948		MG2000040508AA/scale factor=2.2829		MG2000040509AA/scale factor=1.1614		MG2000040510AA/scale factor=1.3717		MG2000040511AA/scale factor=3.5446		MG2000040512AA/scale factor=1.7787		MG2000040513AA/scale factor=1.2637		MG2000051201AA/scale factor=2.2553		MG2000051202AA/scale factor=5.4631		MG2000051204AA/scale factor=4.8136		MG2000051205AA/scale factor=5.9044		MG2000051209AA/scale factor=2.4782		MG2000071102AA/scale factor=3.6417		MG2000051207AA/scale factor=2.2507		MG2000051208AA/scale factor=2.0243		MG2000051211AA/scale factor=5.4262		MG2000051213AA/scale factor=4.7001		MG2000061902AA/scale factor=1.0657		MG2000061903AA/scale factor=0.9095		MG2000061904AA/scale factor=1.1515		MG2000061905AA/scale factor=1.0406		MG2000061906AA/scale factor=0.9599		MG2000070709AA/scale factor=2.3954		MG2000070710AA/scale factor=1.2847		MG2000070711AA/scale factor=1.9224		MG2000070712AA/scale factor=1.3941		MG2000070713AA/scale factor=5.0142		MG1999112206AA/scale factor=6.0713		MG2000033109AA/scale factor=8.0386		MG2000033106AA/scale factor=3.2059		MG2000033107AA/scale factor=3.2845		MG1999112202AA/scale factor=4.4798		MG1999112204AA/scale factor=2.0678		MG2000011801AA/scale factor=9.6170		MG2000031503AA/scale factor=2.7246		MG2000032015AA/scale factor=4.9538		MG2000030308AA/scale factor=2.4813		MG2000011803AA/scale factor=5.8353		MG2000011807AA/scale factor=2.9142	
AFFX-BioB-5_at (endogenous control)	AFFX-BioB-5_at	-156	A	16	A	34	A	-72	A	-552	A	33	A	-76	A	-159	A	-106	A	-432	A	-133	A	-76	A	-433	A	-82	A	-790	A	-367	A	-36	A	-184	A	-200	A	-4	A	-132	A	-82	A	-82	A	-208	A	-557	A	-114	A	-124	A	-117	A	-25	A	-466	A	-212	A	-1969	A	-198	A	-1425	A	-80	A	-72	A	-394	A	8	A	-89	A	-106	A	163	A	-93	A
AFFX-BioB-M_at (endogenous control)	AFFX-BioB-M_at	-115	A	-63	A	-81	A	-58	A	-212	A	-110	A	-54	A	-148	A	-14	A	-173	A	-119	A	-289	A	-240	A	-141	A	-934	A	-291	A	-213	A	-137	A	-352	A	-272	A	-211	A	-136	A	-181	A	-115	A	-326	A	-131	A	-131	A	-76	A	-139	A	-441	A	-200	A	-1688	A	-314	A	-1074	A	-4	A	-24	A	-605	A	-408	A	-64	A	-359	A	-285	A	-271	A
AFFX-BioB-3_at (endogenous control)	AFFX-BioB-3_at	-140	A	-89	A	163	A	60	A	-191	A	-31	A	97	A	-474	A	87	A	-101	A	-162	A	180	A	534	A	-82	A	-190	A	-83	A	-218	A	-334	A	341	A	714	A	-163	A	-148	A	-51	A	-223	A	-184	A	-251	A	-134	A	-126	A	-135	A	-340	A	-279	A	490	A	-105	A	226	A	291	A	-268	A	827	A	51	A	14	A	14	A	157	A	-110	A
AFFX-BioC-5_at (endogenous control)	AFFX-BioC-5_at	149	A	92	A	110	A	170	A	374	A	12	A	-6	A	595	A	177	A	65	A	42	A	-43	A	240	A	377	A	451	A	109	A	544	A	52	A	368	A	408	M	143	A	121	A	-8	A	81	A	107	A	67	A	192	A	163	A	-8	A	215	A	807	A	627	A	262	A	867	A	318	A	122	A	471	A	198	A	163	A	424	A	694	A	448	A
AFFX-BioC-3_at (endogenous control)	AFFX-BioC-3_at	-111	A	-394	A	-230	A	-117	A	-50	A	-267	A	-100	A	-708	A	-305	A	-286	A	-290	A	-732	A	-539	A	-354	A	-498	A	-702	A	-472	A	-52	A	-661	A	-653	A	-250	A	-189	A	-240	A	-190	A	-242	A	-136	A	-96	A	-247	A	-128	A	-551	A	-910	A	-972	A	-695	A	-426	A	-300	A	-256	A	-673	A	-408	A	-143	A	-548	A	-846	A	-754	A
AFFX-BioDn-5_at (endogenous control)	AFFX-BioDn-5_at	-334	A	-719	A	-353	A	-328	A	-404	A	-663	A	-541	A	-744	A	-300	A	-505	A	-1150	A	-1294	A	-1010	A	-991	A	-1139	A	-622	A	-853	A	-406	A	-1432	A	-1226	A	-415	A	-327	A	-206	A	-587	A	-483	A	-433	A	-396	A	-303	A	-147	A	-466	A	-1208	A	-2218	A	-1073	A	-1343	A	-568	A	-428	A	-875	A	-1046	A	-391	A	-937	A	-1038	A	-1154	A
AFFX-BioDn-3_at (endogenous control)	AFFX-BioDn-3_at	-47	A	290	A	158	A	264	A	-399	A	239	A	488	A	708	A	21	A	888	A	1199	A	1180	A	-279	A	-1234	A	1090	A	-924	A	925	A	912	A	1085	A	930	A	-144	A	-113	A	119	A	-970	A	1318	A	-265	A	-377	A	-242	A	310	A	436	A	868	A	-2475	A	-1346	A	591	A	-22	A	345	A	1654	A	-1016	A	1010	A	-932	A	1645	A	-562	A
AFFX-CreX-5_at (endogenous control)	AFFX-CreX-5_at	-204	A	-132	A	-114	A	-71	A	-61	A	-238	A	-97	A	-304	A	-106	A	-137	A	-166	A	-650	A	-346	A	-797	A	-671	A	-112	A	-465	A	-172	A	-553	A	-404	A	-201	A	-61	A	-221	A	-195	A	-136	A	-124	A	-200	A	-159	A	-105	A	-361	A	-169	A	-747	A	-442	A	-108	A	-264	A	-264	A	-798	A	-681	A	-326	A	-334	A	-700	A	-314	A
AFFX-CreX-3_at (endogenous control)	AFFX-CreX-3_at	-148	A	238	A	-11	A	-2	A	-219	A	3	A	76	A	131	A	-17	A	-10	A	124	A	229	A	-86	A	-23	A	79	A	-112	A	85	A	-56	A	-141	A	-225	A	-123	A	-55	A	-48	A	55	A	-73	A	119	A	17	A	-90	A	26	A	-235	A	327	A	-64	A	-112	A	105	A	300	M	349	A	471	A	-212	A	-163	A	-151	A	256	A	271	A
