	Description	MG1999112202AA.CEL	MG1999112204AA.CEL	MG1999112206AA.CEL	MG2000011801AA.CEL	MG2000011803AA.CEL	MG2000011807AA.CEL	MG2000030308AA.CEL	MG2000031503AA.CEL	MG2000032015AA.CEL	MG2000033106AA.CEL	MG2000033107AA.CEL	MG2000033109AA.CEL	MG2000040501AA.CEL	MG2000040502AA.CEL	MG2000040504AA.CEL	MG2000040505AA.CEL	MG2000040508AA.CEL	MG2000040509AA.CEL	MG2000040510AA.CEL	MG2000040511AA.CEL	MG2000040512AA.CEL	MG2000040513AA.CEL	MG2000051201AA.CEL	MG2000051202AA.CEL	MG2000051204AA.CEL	MG2000051205AA.CEL	MG2000051207AA.CEL	MG2000051208AA.CEL	MG2000051209AA.CEL	MG2000051211AA.CEL	MG2000051213AA.CEL	MG2000061902AA.CEL	MG2000061903AA.CEL	MG2000061904AA.CEL	MG2000061905AA.CEL	MG2000061906AA.CEL	MG2000070709AA.CEL	MG2000070710AA.CEL	MG2000070711AA.CEL	MG2000070712AA.CEL	MG2000070713AA.CEL	MG2000071102AA.CEL
A28102_at	GABAa receptor alpha-3 subunit	6.01E+03	4.37E+01	4.99E+03	1.52E+04	7.37E+03	2.51E+01	2.77E+01	3.47E-01	5.60E+01	5.35E+00	1.74E+00	2.54E+03	2.07E+05	1.28E+02	5.95E+02	6.19E+01	2.89E-01	5.63E-02	8.99E+00	1.06E+02	3.54E+02	1.97E-01	4.94E+00	1.89E+03	1.14E+00	2.96E+02	8.05E+02	2.22E-01	4.82E+00	2.48E+00	1.53E+04	3.81E+01	1.15E+01	1.62E+03	3.27E-01	2.30E+00	3.75E+06	2.33E+04	2.90E+03	1.01E+04	7.64E+02	3.61E-02
AB000114_at	Osteomodulin	1.36E+03	9.49E+01	6.71E+04	7.65E+02	5.21E+02	1.15E+04	1.79E-01	6.25E+03	1.94E+04	2.10E+03	9.24E+04	4.60E+01	1.04E+04	4.09E+02	7.49E+04	2.80E+01	8.33E+02	3.85E-02	3.57E+03	4.27E+03	1.01E+04	1.68E+02	2.69E+03	7.34E+04	3.58E+04	1.65E+03	1.01E+04	9.71E+02	1.22E+04	2.09E+06	5.33E+03	2.01E+04	7.67E+04	1.37E-01	2.82E+04	1.38E+05	9.69E+01	4.15E+06	5.77E+03	1.62E+03	1.47E+04	5.52E-02
AB000115_at	mRNA	1.78E+06	3.44E+00	8.71E+02	4.20E+02	5.04E+01	1.30E+03	1.28E+05	3.10E+04	2.03E+04	3.16E+04	1.12E+02	4.33E+02	1.00E+03	6.02E+03	1.56E+02	5.17E+03	7.83E-02	4.17E+00	2.15E+02	9.03E+04	4.17E+04	1.07E+01	1.36E+03	1.18E+04	2.02E+01	1.14E+03	2.59E-02	1.00E-01	1.11E+01	9.15E+03	1.38E+04	7.87E-03	1.54E-03	2.74E+01	4.40E-03	6.45E-02	1.40E+01	5.24E-02	2.96E+02	4.42E+02	9.44E+02	1.42E-02
AB000220_at	Semaphorin E	2.31E+03	1.82E+03	5.31E+01	7.32E+03	1.54E-02	1.01E+00	2.80E-03	3.14E-02	2.81E+02	6.85E-01	9.90E-02	1.14E+00	9.94E-02	6.23E-02	1.28E+03	8.70E+00	2.15E+00	2.00E-02	7.02E-02	1.23E+02	4.73E+04	2.11E-01	2.88E+03	1.03E+02	2.89E+01	1.16E-01	2.30E+01	9.87E-03	4.93E-01	5.33E+00	7.03E+02	4.46E-02	1.59E-03	3.50E-02	5.70E+01	1.10E+00	3.17E-03	2.32E-03	4.85E-02	5.15E-02	2.27E+01	1.78E-02
AB000381_s_at	DNA for GPI-anchored molecule-like protein	2.13E+03	1.37E+02	1.36E+03	6.65E+02	2.25E+04	9.05E+01	2.61E+02	1.07E+04	1.69E+05	1.14E+04	2.44E+05	5.07E+06	1.11E+03	2.33E+03	2.86E+04	1.55E+06	7.29E+03	6.73E+03	1.35E+02	6.91E+02	1.08E+03	1.07E+04	1.39E+03	1.14E+03	2.89E+04	1.46E+05	7.83E+02	7.35E+03	2.14E+03	1.29E+03	1.50E+03	1.03E+05	2.46E+03	2.28E+04	2.42E+03	2.17E+04	2.54E+04	2.46E+03	4.24E+03	3.08E+04	5.86E+05	1.41E+04
AB000409_at	MNK1	7.26E+03	1.37E+02	4.92E+04	1.08E+05	3.39E+02	1.15E+04	9.46E+01	2.13E-01	7.49E+02	2.45E+00	1.91E-01	5.87E+02	1.14E+03	1.01E+01	2.65E+00	3.38E+00	7.01E+00	2.80E+01	3.65E+01	2.39E+03	1.88E+02	1.76E+02	1.24E+04	6.91E+03	2.11E+01	2.31E+04	2.79E+00	9.67E-02	1.12E+00	2.83E+03	1.92E+04	1.08E-02	1.91E-02	1.59E-02	1.99E-02	1.87E-02	3.55E-02	2.12E-01	8.81E-01	7.05E-02	1.40E+01	2.66E-02
AB000410_s_at	HOGG1 mRNA	2.60E+06	4.22E+05	7.20E+04	1.00E+05	1.14E+04	2.08E+05	1.51E+04	8.40E+04	9.76E+05	1.61E+05	2.87E+04	2.55E+05	2.91E+04	1.65E+04	3.15E+04	6.45E+04	2.43E+04	1.79E+06	4.70E+04	7.22E+05	4.80E+05	5.42E+04	5.54E+04	5.56E+04	7.93E+04	3.98E+05	4.68E+04	2.32E+08	4.53E+04	4.31E+04	2.21E+05	2.47E+04	1.38E+04	6.92E+05	4.04E+04	3.72E+05	1.11E+06	1.92E+06	1.31E+05	6.77E+03	3.64E+04	2.44E+09
AB000449_at	VRK1	1.90E+04	9.25E+03	2.68E+04	1.95E+05	4.23E+02	4.02E+02	2.51E+01	1.84E+03	5.19E+02	2.04E+03	9.95E+02	4.77E+01	1.19E+00	1.00E+04	1.33E+04	8.35E+03	8.00E+03	9.19E-02	2.81E-01	4.23E+04	7.86E+00	4.45E+02	4.00E+04	3.16E+03	2.10E+04	3.17E+03	1.74E+02	1.67E+02	2.14E+05	9.93E+03	3.83E+04	1.42E-01	4.34E-01	7.55E-03	6.81E-02	1.82E+00	3.26E+04	1.50E-01	3.62E+03	5.45E-02	3.38E+03	5.28E-02
AB000450_at	VRK2	6.83E+03	1.40E+01	4.99E+03	5.02E+02	1.80E+02	2.21E+00	6.77E+04	4.58E-02	1.93E+03	1.73E+03	2.31E+02	1.69E+01	7.93E-02	9.73E+04	2.68E+03	6.93E+04	1.57E+03	1.16E+00	4.36E+04	3.38E+05	3.91E+03	5.16E+00	1.75E+04	6.85E+03	2.27E+04	6.37E+03	1.76E+01	4.28E+03	1.23E+02	2.84E+03	1.11E+05	6.08E-02	3.89E-02	4.35E-02	1.92E-02	8.80E-02	2.34E+01	6.29E-02	2.48E+01	1.30E-01	1.43E+04	1.05E-01
AB000460_at	"mRNA, clone RES4-22A"	6.49E-02	1.74E-02	9.55E-02	1.63E+00	4.17E-02	3.51E-02	1.65E-02	1.20E-02	2.59E+00	1.99E-02	1.49E-02	3.30E-02	2.03E-02	2.67E-02	2.62E-02	1.46E-02	4.10E-02	9.63E-03	1.55E-02	3.62E-02	2.75E-02	5.08E-03	1.23E-02	6.79E-02	3.21E-02	3.89E-02	1.48E-02	2.73E-02	1.12E-02	2.33E-02	3.29E-02	3.02E-03	3.27E-03	3.23E-03	3.98E-03	3.49E-03	4.59E-02	7.71E-03	1.22E-02	1.05E-02	4.19E-02	2.13E-02
