Probe Name	 brain_MD_12	 brain_MD_61	 brain_MD_15	 brain_MD_57	 brain_MD_33	 brain_MD_64	 brain_MD_17	 brain_MD_62	 brain_MD_63	 brain_MD_32	 brain_MGlio_1	 brain_MGlio_2	 brain_MGlio_3	 brain_MGlio_4	 brain_MGlio_5	 brain_MGlio_6	 brain_MGlio_7	 brain_MGlio_8	 brain_MGlio_9	 brain_MGlio_10	 brain_Rhab_1	 brain_Rhab_2	 brain_Rhab_3	 brain_Rhab_4	 brain_Rhab_5	 brain_Rhab_6	 brain_Rhab_7	 brain_Rhab_8	 brain_Rhab_9	 brain_Rhab_10	 brain_Ncer_1	 brain_Ncer_2	 brain_Ncer_3	 brain_Ncer_4	 brain_PNET_1	 brain_PNET_2	 brain_PNET_3	 brain_PNET_4	 brain_PNET_5	 brain_PNET_6	 brain_PNET_7	 brain_PNET_8	 
M93119	-1.6371	 7.9738	 38.2821	 41.1786	 3.4910	 47.1637	 7.9157	 39.8436	 -14.0485	 51.8419	 1.5439	 -0.8298	 -5.5346	 1.6021	 2.8412	 -4.1731	 1.3629	 2.5143	 -3.9903	 -0.4114	 1.5644	 -0.1450	 -4.5405	 0.9412	 -2.8945	 -5.7901	 -0.9335	 0.0598	 -6.1501	 -6.3701	 -0.3873	 -0.1335	 4.4602	 -7.0901	 -0.6991	 -0.0036	 -18.8132	 0.1954	 -0.7539	 33.2344	 0.0415	 0.9533
M30448	26.3379	 28.3146	 27.1543	 6.1048	 48.1740	 25.1822	 301.0844	 25.9452	 40.2345	 27.1114	 6.3193	 15.7450	 0.9888	 3.5902	 6.3496	 3.2324	 27.6860	 5.9383	 5.3476	 0.6946	 21.1246	 24.8268	 218558.0643	 26.6039	 15.1363	 -10.8885	 12521.6557	 29.2511	 25.5788	 3.4710	 1.6630	 0.8185	 6.1844	 6.7225	 11.1080	 26.8617	 -5.3079	 5.3467	 3.5217	 24.9001	 2.6051	 5.3504
S82240	43.9385	 1.9323	 -14.7823	 9.6247	 0.9727	 26.8912	 -2.4326	 0.8180	 -5.3620	 0.8441	 -1.0068	 -1.5141	 -5.2248	 -1.1066	 -0.5577	 -6.2861	 0.6967	 -5.5230	 -0.0931	 -0.8233	 -0.7995	 -2.0629	 -5.5057	 -0.3072	 -0.9641	 -5.6512	 -2.1372	 0.2048	 -6.3670	 -6.2156	 -0.5272	 0.7958	 0.3133	 0.8342	 -0.8004	 0.0917	 -0.8625	 -0.6087	 -1.3560	 4.6662	 0.2372	 -11.8224
D80004	30.3750	 4.1426	 5.9673	 19.1169	 7.8271	 39.2889	 7.6007	 10.4628	 -4.9441	 52.5471	 6.1498	 3.6672	 -5.8360	 4.5672	 -4.2544	 -3.0784	 9.9538	 3.9866	 4.9258	 1.5681	 9.9877	 35.3261	 -2.0897	 9.3566	 9.5352	 1.5150	 6.1634	 2.3503	 4.5613	 -4.7787	 -12.1774	 41.1040	 10.3240	 3.9289	 3.1710	 -13.8076	 1.3567	 6.1968	 1.0023	 3.8173	 2.1524	 48.0044
D76435	0.8081	 52.6059	 325.1711	 851912407637165600000.0000	 57.4105	 285.8140	 42.4610	 35.7982	 41.7686	 46.4910	 -0.3791	 -0.0747	 0.7690	 2.5066	 50.1407	 2.1437	 47.5062	 -0.6398	 -1.4321	 -0.2975	 -15.5006	 35.8873	 -0.3578	 42.6786	 1.0505	 -6.2836	 -1.7383	 13.3530	 0.9112	 6.3188	 54.1160	 32.7195	 43.4351	 48.8640	 1.0313	 1.0336	 -16.1254	 -1.2911	 0.6641	 -11.6033	 17.7176	 -2.4686
X63543	5.5970	 39.3256	 5.2701	 6.4482	 -18.7990	 30.1218	 2.6379	 2.4021	 1.9623	 7.8247	 -0.9964	 -1.6203	 -6.3687	 -6.8193	 1.3055	 -5.5561	 1.5851	 -0.5324	 -5.9397	 -5.8363	 7.4642	 11.0331	 7.6871	 -2.2611	 14.0265	 -0.1799	 -2.4184	 1.8084	 5.3400	 -6.6883	 -0.3968	 -0.9410	 -3.6973	 -0.4979	 -1.4239	 -0.1884	 -1.1458	 1.0787	 -0.1753	 -2.5162	 -3.4042	 -0.6515
X62534	29.2374	 18719847910.8785	 34.4301	 55.5295	 37.3922	 194.8832	 11.1842	 8.0998	 7.6155	 46.2212	 13.9572	 10.0148	 7.3667	 9.3296	 35.2542	 10.7759	 8.7746	 13.0463	 8.2805	 9.6383	 15.9179	 41.5666	 13.6825	 39.2871	 45.5809	 7.2388	 9.7884	 52.0763	 9.2715	 3.4409	 4.2084	 6.3662	 42.9699	 35.4003	 1.2909	 3.9171	 15.5286	 11.4795	 -9.8154	 27.2658	 5.7697	 8.8992
M96739	-1.9934	 1.7661	 1.3313	 0.7315	 2.4092	 15100494479.4411	 2.9173	 -12.9200	 -1.2622	 35.8747	 -3.2216	 -0.7896	 -0.0614	 -1.4536	 -3.3597	 -1.3305	 -5.8682	 -0.1936	 0.3169	 0.9996	 0.9722	 0.2329	 1.7228	 -2.6136	 -12.0693	 -1.5380	 1.2034	 -0.9582	 -0.4845	 -1.4675	 18.3151	 -3.3122	 1.5102	 0.7756	 6.2975	 -3.7017	 -0.1103	 0.6044	 -0.5588	 -0.2741	 -4.7139	 -2.7682
U26726	33.1333	 44.3873	 31.4095	 49.1111	 43.0887	 30.0211	 33.8440	 27.1533	 26.7035	 37.8316	 46.3600	 27.0131	 -4.4227	 2.9594	 49.0134	 -1.0505	 45.9334	 47.7632	 2.4370	 4.6945	 38.2657	 25.2077	 31.4014	 35.3423	 41.5084	 30.0700	 30.0490	 62042750.2217	 26.4763	 3.7265	 -0.3648	 3.0894	 41.0005	 36.4293	 2.8766	 44.0613	 0.6415	 2.7882	 2.4026	 36.1501	 2.2895	 0.0122
HG311-HT311	9.1732	 9.4737	 -0.2268	 24.3844	 8.0602	 5.2970	 6.4252	 6.7478	 2.5886	 12.2019	 40.3536	 45.1247	 63.3023	 25.3483	 74.9655	 22.4619	 474862.9139	 23.9560	 49.3728	 64.7602	 13.4138	 11.9512	 6.2713	 64.0866	 8.9844	 6.5145	 4.0776	 6.1117	 6.1679	 -5.6513	 5.7174	 3.2966	 16.2470	 43.9910	 -2.9246	 4.2405	 2.4658	 4.7913	 1.9258	 4.8052	 7.9507	 1.3124
