Probe Name	 brain_MD_12	 brain_MD_61	 brain_MD_15	 brain_MD_57	 brain_MD_33	 brain_MD_64	 brain_MD_17	 brain_MD_62	 brain_MD_63	 brain_MD_32	 brain_MGlio_1	 brain_MGlio_2	 brain_MGlio_3	 brain_MGlio_4	 brain_MGlio_5	 brain_MGlio_6	 brain_MGlio_7	 brain_MGlio_8	 brain_MGlio_9	 brain_MGlio_10	 brain_Rhab_1	 brain_Rhab_2	 brain_Rhab_3	 brain_Rhab_4	 brain_Rhab_5	 brain_Rhab_6	 brain_Rhab_7	 brain_Rhab_8	 brain_Rhab_9	 brain_Rhab_10	 brain_Ncer_1	 brain_Ncer_2	 brain_Ncer_3	 brain_Ncer_4	 brain_PNET_1	 brain_PNET_2	 brain_PNET_3	 brain_PNET_4	 brain_PNET_5	 brain_PNET_6	 brain_PNET_7	 brain_PNET_8	 
M93119	26.5193	 186.1800	 1978.9062	 2612.1822	 98.3754	 3217.7481	 225.6494	 2133.0553	 163.9824	 3433.8283	 94.3383	 45.5764	 4.9899	 86.8035	 114.6519	 9.8208	 82.1409	 107.9654	 9.5720	 42.9188	 81.6913	 62.0496	 8.3303	 93.2468	 17.9828	 3.2764	 48.3713	 77.0212	 2.8572	 2.8854	 73.0577	 79.2387	 119.0374	 49.8245	 57.9227	 45.3112	 68.8982	 51.4591	 52.9733	 1633.4086	 54.9915	 69.6022
M30448	881.2449	 1266.6635	 1270.5040	 122.2637	 2958.7738	 845.8559	 92935.9315	 1227.9694	 2040.1539	 951.6220	 140.7947	 512.7762	 52.6678	 94.7441	 147.6877	 96.4302	 1346.6265	 133.4297	 136.1889	 260.0773	 630.2570	 814.5985	 47768637592.5643	 922.1359	 863.3193	 44.9009	 156912255.3929	 1217.7928	 1292.6694	 102.7038	 59.5384	 52.8188	 138.5872	 153.7361	 1197.3647	 1259.3002	 9.5365	 116.6633	 87.9644	 1068.2467	 68.3727	 119.3086
S82240	2504.8253	 61.8948	 17.8968	 269.4418	 104.6462	 1223.3639	 15.0278	 69.9046	 4.4033	 46.3947	 45.9750	 43.8651	 4.8506	 45.3171	 68.9275	 2.7444	 61.3053	 4.2542	 47.5644	 43.1609	 53.6172	 37.5456	 4.2371	 74.3118	 55.7896	 3.6454	 35.5801	 66.8305	 2.5349	 2.9772	 57.9377	 63.5715	 60.6148	 65.7583	 57.8963	 45.5100	 57.9885	 66.6579	 57.2863	 129.7558	 60.0819	 8.4461
D80004	1375.9179	 114.8374	 142.6447	 2005.3776	 189.1531	 2112.5024	 185.1314	 296.5489	 80.5555	 3489.7812	 150.6723	 146.0063	 90.1255	 152.2620	 91.3449	 16.2547	 278.8296	 166.5856	 141.5272	 119.7658	 254.3246	 1804.6940	 158.5531	 239.4966	 237.4491	 79.9011	 173.1452	 126.1073	 152.2255	 7.2474	 11.3768	 2247.1616	 288.7735	 98.8112	 100.7464	 8.1715	 71.9856	 146.7797	 83.1285	 90.8560	 62.1960	 2930.6256
D76435	53.9516	 3431.2226	 109089.8378	 725754750286152130000000000000000000000000.0000	 4217.1154	 84271.1602	 2152.5459	 1515.0655	 2475.1035	 2556.0776	 66.3146	 47.3167	 70.4122	 125.6368	 3173.3560	 108.2062	 2870.7748	 57.6143	 40.4235	 50.8433	 49.1125	 1561.7364	 42.3980	 2216.5988	 72.2019	 2.5363	 43.6265	 360.9946	 411.9644	 181.5333	 3711.8633	 1668.7991	 2285.4255	 2861.6669	 53.1074	 45.8311	 63.2252	 184.5286	 81.7630	 21.1325	 591.0095	 50.7280
X63543	129.4786	 2088.2215	 412.3383	 154.2105	 83.5416	 1542.6129	 69.8556	 102.9199	 85.1920	 182.2248	 53.8778	 31.6739	 2.5548	 1.9308	 81.3635	 3.9965	 63.7441	 67.1324	 3.0824	 3.3340	 176.0940	 282.2459	 192.6388	 139.6902	 403.3126	 47.3301	 23.8619	 105.9493	 173.3272	 2.2755	 35.5752	 54.7370	 33.7881	 61.9206	 49.2513	 51.3768	 51.9497	 82.0223	 64.0500	 15.4750	 7.0766	 59.6434
X62534	1548.1740	 350432706267155660000.0000	 2028.4021	 3909.4918	 2017.9162	 39386.2175	 286.5280	 230.6971	 189.6906	 2557.6509	 391.2034	 263.2874	 187.5048	 235.6436	 2079.2855	 288.7776	 207.1672	 393.2948	 198.9072	 247.3819	 467.1502	 2419.5996	 391.0548	 2355.9544	 2866.1899	 169.2645	 239.4668	 3414.8935	 245.8141	 145.3497	 105.3307	 143.8191	 2593.6008	 2507.1631	 57.8347	 79.3398	 501.4223	 299.0321	 22.1152	 1447.3432	 121.0810	 208.2561
M96739	22.1998	 57.6875	 64.0027	 52.8596	 68.4431	 228024933820176010000.0000	 74.9976	 22.7136	 42.2444	 1827.4162	 138.6975	 57.6938	 64.5624	 37.5511	 7.4260	 42.4321	 2.4136	 70.2373	 68.0397	 65.6411	 227.6219	 211.3218	 58.6623	 10.9782	 13.4101	 43.2547	 51.0073	 64.6416	 47.3428	 59.7897	 620.1217	 20.0733	 57.3959	 47.5582	 169.8117	 6.9117	 55.3710	 45.7684	 36.2316	 26.2574	 117.1345	 9.5728
U26726	1337.0531	 2479.4711	 1218.0648	 3935.5484	 2285.6562	 1102.2231	 1428.1991	 1329.9976	 992.9529	 1702.6361	 2703.5147	 1125.3358	 15.5315	 294.7853	 3056.5497	 26.5070	 2729.2030	 2872.8154	 82.9490	 105.9700	 1754.5226	 797.6260	 1177.6188	 1525.8849	 2007.1433	 1456.3247	 1149.4301	 3849304108406007.5000	 952.7599	 88.8830	 29.7703	 79.7155	 2297.3979	 1873.4016	 77.8114	 2456.1987	 54.8789	 73.9156	 66.7757	 1834.8679	 66.4066	 50.0967
HG311-HT311	225.2608	 245.7776	 62.4301	 997.8236	 197.3528	 106.8550	 149.3569	 157.6213	 122.3644	 337.5833	 2814.5712	 2669.0882	 4977.2902	 1051.9796	 6953.9219	 769.1986	 225497062676.3618	 889.4010	 3164.6369	 5773.9817	 393.8118	 324.6008	 163.4269	 4975.6777	 271.9075	 151.8382	 95.3442	 634.0532	 142.2069	 4.0395	 137.1611	 85.0589	 506.4129	 2678.9221	 14.1629	 97.3313	 83.3111	 132.7142	 87.1099	 115.0622	 215.9574	 49.8392
X86693	53.9080	 44.0271	 108.7576	 3.0837	 2.6530	 48.6117	 94.3185	 113.1141	 2.5724	 86.2704	 2934.0327	 117.0400	 3134.9042	 966.7193	 1400.8038	 1315.2523	 2468.9878	 104.5182	 1164.7627	 3648.4282	 744.0313	 8.4820	 7.4661	 5029.9335	 73.5094	 2.4505	 96.5788	 193.1065	 3.6528	 2.8325	 65.5212	 66.4182	 137.1366	 362.8497	 55.2657	 41.9893	 82.9802	 42.3698	 33.1224	 36.4427	 44.7000	 141.7949
M93426	1430.1686	 234.2321	 250.6149	 264.3596	 332.0393	 26418.0610	 1699.0350	 215.7364	 148.1019	 3264.6874	 2827.6823	 2778.3918	 2374.5565	 1836.8382	 2093.0213	 3298.4793	 2190.7158	 282.3256	 3456.3168	 2874.8036	 2931.8980	 1575.4695	 222.6707	 674.9468	 2446.1267	 165.0744	 180.3969	 1736.3106	 176.8490	 118.6850	 68.3603	 133.6641	 405.4741	 2186.9666	 53.2025	 1234.2080	 117.0093	 1676.5469	 505.0507	 1639.5967	 74.5938	 3060.6521
