Probe Name	 brain_MD_12	 brain_MD_61	 brain_MD_15	 brain_MD_57	 brain_MD_33	 brain_MD_64	 brain_MD_17	 brain_MD_62	 brain_MD_63	 brain_MD_32	 brain_MGlio_1	 brain_MGlio_2	 brain_MGlio_3	 brain_MGlio_4	 brain_MGlio_5	 brain_MGlio_6	 brain_MGlio_7	 brain_MGlio_8	 brain_MGlio_9	 brain_MGlio_10	 brain_Rhab_1	 brain_Rhab_2	 brain_Rhab_3	 brain_Rhab_4	 brain_Rhab_5	 brain_Rhab_6	 brain_Rhab_7	 brain_Rhab_8	 brain_Rhab_9	 brain_Rhab_10	 brain_Ncer_1	 brain_Ncer_2	 brain_Ncer_3	 brain_Ncer_4	 brain_PNET_1	 brain_PNET_2	 brain_PNET_3	 brain_PNET_4	 brain_PNET_5	 brain_PNET_6	 brain_PNET_7	 brain_PNET_8	 
A28102_at	0.4262	 0.3792	 0.2850	 0.2945	 0.3765	 0.6525	 0.3738	 0.2907	 0.2403	 0.4585	 0.3624	 0.2880	 0.3057	 0.2303	 0.4315	 0.3342	 0.3864	 0.3300	 0.3158	 0.3009	 0.3915	 0.3502	 0.3939	 0.3907	 0.4080	 0.2621	 0.3354	 0.2557	 0.2257	 0.2305	 0.3644	 0.4796	 0.3668	 0.5084	 0.3346	 0.4008	 0.3202	 0.3573	 0.3688	 0.5154	 0.4686	 0.4288
AB000114_at	0.4432	 0.4129	 0.2873	 0.3001	 0.4154	 0.7844	 0.3977	 0.2987	 0.2646	 0.5174	 0.3937	 0.3819	 0.2965	 0.2684	 0.4363	 0.3713	 0.4264	 0.3318	 0.3110	 0.3360	 0.3868	 0.3536	 0.4309	 0.4377	 0.4001	 0.3113	 0.3640	 0.2717	 0.2476	 0.2540	 0.4789	 0.5135	 0.3807	 0.5646	 0.4550	 0.5637	 0.4380	 0.3505	 0.3926	 0.6448	 0.6098	 0.4987
AB000115_at	0.1977	 0.1722	 0.1350	 0.1287	 0.1834	 0.2801	 0.1678	 0.1341	 0.1207	 0.2104	 0.1774	 0.1445	 0.1468	 0.1157	 0.2038	 0.2226	 0.2703	 0.1686	 0.1440	 0.1388	 0.3325	 0.7872	 0.1948	 0.4594	 0.2222	 0.1452	 0.2111	 0.1302	 0.1173	 0.1151	 0.1988	 0.2033	 0.1694	 0.2356	 0.1828	 0.2516	 0.1803	 0.1674	 0.1672	 0.2209	 0.2630	 0.2110
AB000220_at	0.3329	 0.3256	 0.1984	 0.2070	 0.2574	 0.5152	 0.3120	 0.2095	 0.1996	 0.3184	 0.2780	 0.2524	 0.2075	 0.2235	 0.2903	 0.2738	 0.3024	 0.3163	 0.2420	 0.2399	 0.2950	 0.7876	 0.3094	 0.3020	 0.2787	 0.5166	 0.6894	 0.2367	 0.2197	 0.1884	 0.3809	 0.3427	 0.2645	 0.3136	 0.3635	 0.4302	 0.3160	 0.3237	 0.2960	 0.7342	 0.5791	 0.3688
AB000381_s_at	0.9400	 0.8095	 0.5601	 0.5494	 0.6340	 1.1346	 0.7116	 0.6180	 0.4949	 0.9027	 0.7778	 0.6487	 0.5477	 0.4965	 0.8006	 0.4971	 0.8364	 0.5479	 0.5844	 0.6339	 0.6716	 0.7044	 0.6446	 0.7757	 0.6598	 0.5518	 0.6998	 0.5203	 0.4659	 0.4188	 0.7401	 0.8643	 0.7228	 0.9013	 0.8125	 0.9822	 0.7043	 0.6453	 0.7218	 1.0160	 0.9294	 0.8500
AB000409_at	0.4060	 0.3582	 0.2643	 0.2568	 0.3012	 0.5512	 0.3633	 0.2676	 0.2394	 0.4289	 0.3755	 0.2801	 0.2513	 0.2199	 0.4459	 0.3430	 0.4370	 0.3078	 0.2852	 0.2756	 0.6073	 0.5481	 0.5616	 0.6704	 0.6023	 0.3181	 0.3969	 0.2750	 0.2831	 0.2108	 0.3360	 0.3939	 0.3596	 0.4710	 0.2971	 0.4518	 0.2916	 0.3760	 0.3133	 0.4685	 0.4315	 0.3932
AB000410_s_at	0.9317	 0.6953	 0.5041	 0.5239	 0.5951	 1.0336	 0.6405	 0.5738	 0.4295	 0.8558	 0.6744	 0.5520	 0.5094	 0.3995	 0.7820	 0.4632	 0.7304	 0.5220	 0.5018	 0.5435	 0.7123	 0.7420	 0.6348	 0.8468	 0.7971	 0.4475	 0.6629	 0.4710	 0.4308	 0.3535	 0.5489	 0.6698	 0.6197	 0.7710	 0.5433	 0.7208	 0.5432	 0.5890	 0.6085	 0.9249	 0.7425	 0.7387
AB000449_at	0.6057	 0.5171	 0.3600	 0.3357	 0.4628	 0.8638	 0.5638	 0.3794	 0.3518	 0.5440	 0.4755	 0.4171	 0.3413	 0.3299	 0.5069	 0.4338	 0.5688	 0.3410	 0.3747	 0.3924	 0.5749	 0.5042	 0.7039	 0.6452	 0.6216	 0.3830	 0.5337	 0.3476	 0.3829	 0.3054	 0.6168	 0.5893	 0.4274	 0.5077	 0.5647	 0.7237	 0.5313	 0.4568	 0.5028	 0.7181	 0.7196	 0.5704
AB000450_at	0.4838	 0.4145	 0.2902	 0.2880	 0.3648	 0.6167	 0.3851	 0.2893	 0.2887	 0.4727	 0.4002	 0.3619	 0.3061	 0.2810	 0.4696	 0.3173	 0.4653	 0.2984	 0.3380	 0.3381	 0.4708	 0.4750	 0.4831	 0.6141	 0.4930	 0.3259	 0.4490	 0.3095	 0.3093	 0.2669	 0.4359	 0.4734	 0.3846	 0.4650	 0.4108	 0.5392	 0.4000	 0.4533	 0.3612	 0.5131	 0.5540	 0.4983
AB000460_at	0.6245	 0.5176	 0.3949	 0.4286	 0.4060	 0.8112	 0.5152	 0.3734	 0.3713	 0.8353	 0.6362	 0.4012	 0.3725	 0.3498	 0.6965	 0.3974	 0.6410	 0.4219	 0.4641	 0.4210	 1.0608	 1.0873	 1.0377	 1.0848	 1.1002	 0.3504	 0.7029	 0.5085	 0.4651	 0.3093	 0.4323	 0.5375	 0.5029	 0.6130	 0.4191	 0.6138	 0.3543	 0.6004	 0.3807	 0.7063	 0.6176	 0.5368
AB000462_at	0.5369	 0.4616	 0.3160	 0.3202	 0.4043	 0.6926	 0.4194	 0.3198	 0.3123	 0.5325	 0.4822	 0.4003	 0.3377	 0.3061	 0.5283	 0.3617	 0.5527	 0.3451	 0.3749	 0.3963	 0.4968	 0.4962	 0.4758	 0.6022	 0.5109	 0.3278	 0.4592	 0.3396	 0.2898	 0.2608	 0.4858	 0.5997	 0.4172	 0.5153	 0.4592	 0.5797	 0.4174	 0.5384	 0.4108	 0.6289	 0.6899	 0.5142
AB000464_at	0.3614	 0.3036	 0.2290	 0.2240	 0.3277	 0.4856	 0.2859	 0.2580	 0.2208	 0.4066	 0.3520	 0.2874	 0.2498	 0.2221	 0.3882	 0.2403	 0.3991	 0.2548	 0.2662	 0.2648	 0.3868	 0.3953	 0.3739	 0.4519	 0.4239	 0.2162	 0.3131	 0.2369	 0.2078	 0.1853	 0.2975	 0.4361	 0.3492	 0.4433	 0.2920	 0.3642	 0.2697	 0.3212	 0.2787	 0.4380	 0.4708	 0.3881
