Probe Name	 brain_MD_12	 brain_MD_61	 brain_MD_15	 brain_MD_57	 brain_MD_33	 brain_MD_64	 brain_MD_17	 brain_MD_62	 brain_MD_63	 brain_MD_32	 brain_MGlio_1	 brain_MGlio_2	 brain_MGlio_3	 brain_MGlio_4	 brain_MGlio_5	 brain_MGlio_6	 brain_MGlio_7	 brain_MGlio_8	 brain_MGlio_9	 brain_MGlio_10	 brain_Rhab_1	 brain_Rhab_2	 brain_Rhab_3	 brain_Rhab_4	 brain_Rhab_5	 brain_Rhab_6	 brain_Rhab_7	 brain_Rhab_8	 brain_Rhab_9	 brain_Rhab_10	 brain_Ncer_1	 brain_Ncer_2	 brain_Ncer_3	 brain_Ncer_4	 brain_PNET_1	 brain_PNET_2	 brain_PNET_3	 brain_PNET_4	 brain_PNET_5	 brain_PNET_6	 brain_PNET_7	 brain_PNET_8	 
M93119	-19.6601	 -18.1450	 -13.4798	 -12.6821	 -18.6610	 -12.1244	 -17.3917	 -13.6887	 -22.3274	 -10.8580	 -24.3857	 -28.1198	 -33.5051	 -27.6715	 -23.7317	 -31.0092	 -24.0828	 -27.7368	 -29.9721	 -29.3543	 -27.1478	 -28.1775	 -30.5657	 -25.7103	 -29.5007	 -31.4731	 -28.4668	 -28.4472	 -33.2926	 -37.4042	 -24.0895	 -24.6735	 -23.8540	 -25.7703	 -25.7703	 -23.0707	 -25.5225	 -29.2474	 -26.6056	 -12.9770	 -23.6478	 -23.6216
M30448	-6.4742	 -10.7550	 -10.8367	 -8.0876	 -10.2462	 -6.7123	 -8.1763	 -10.9174	 -8.9524	 -7.1031	 -12.4611	 -16.2808	 -15.5050	 -17.3489	 -12.2365	 -14.0850	 -11.5861	 -13.0859	 -16.7567	 -16.1897	 -7.8887	 -7.2816	 -8.4774	 -6.7222	 -6.3393	 -14.3132	 -8.2522	 -10.3829	 -11.0960	 -17.9888	 -14.7337	 -14.3029	 -12.7179	 -11.9732	 -11.9732	 -11.5942	 -15.5834	 -12.5501	 -12.0717	 -10.4883	 -13.4831	 -12.7963
S82240	-4.5091	 -4.6226	 -6.3431	 -4.2655	 -5.2685	 -2.8624	 -4.1153	 -5.0122	 -6.6385	 -3.8348	 -5.8947	 -6.2809	 -6.9121	 -6.2370	 -5.3835	 -7.5803	 -5.0912	 -6.7365	 -6.4091	 -6.3672	 -5.7900	 -6.0404	 -6.7355	 -5.6285	 -6.2683	 -6.5577	 -6.0501	 -5.4754	 -7.4430	 -8.1859	 -5.6366	 -5.0600	 -5.9765	 -5.3805	 -5.3805	 -4.9273	 -5.7244	 -5.6623	 -5.3967	 -4.3208	 -5.0383	 -4.7886
D80004	-8.4114	 -11.0269	 -10.8108	 -9.4218	 -10.6644	 -7.1938	 -9.8182	 -12.5497	 -13.2465	 -7.9883	 -11.0630	 -14.8893	 -16.5275	 -14.4721	 -13.0927	 -18.5592	 -12.5942	 -15.9648	 -13.8657	 -14.6736	 -9.6800	 -9.4329	 -10.0863	 -10.5355	 -10.3487	 -16.7013	 -12.3728	 -15.4596	 -14.1522	 -19.8804	 -12.4982	 -12.9764	 -12.4183	 -12.7195	 -12.7195	 -11.2798	 -14.6462	 -10.6057	 -15.3990	 -9.7139	 -10.7482	 -13.0663
D76435	-35.1242	 -16.7286	 -15.3359	 -15.8565	 -19.9439	 -15.7187	 -13.3800	 -9.8535	 -23.0701	 -12.2874	 -41.6232	 -44.4524	 -44.3554	 -38.9115	 -33.8346	 -42.3277	 -34.3839	 -45.8804	 -47.1623	 -44.5958	 -37.1869	 -13.4770	 -48.3097	 -13.9269	 -44.1090	 -52.4589	 -43.6017	 -24.2517	 -27.5846	 -38.0855	 -18.9846	 -20.8427	 -12.7638	 -36.8630	 -36.8630	 -34.9881	 -41.2254	 -25.2713	 -39.4355	 -26.3556	 -33.9741	 -37.5971
X63543	-14.4300	 -18.2746	 -17.5331	 -18.7664	 -22.7946	 -12.2662	 -16.1159	 -20.5599	 -23.5237	 -14.1563	 -22.9506	 -25.3660	 -29.4722	 -28.7026	 -20.9429	 -26.9297	 -19.6898	 -23.2514	 -27.5441	 -26.0199	 -15.6807	 -13.9910	 -15.6407	 -15.1925	 -14.1610	 -23.7165	 -16.5971	 -22.0723	 -19.8683	 -30.6311	 -21.2934	 -22.9415	 -25.0940	 -20.4337	 -20.4337	 -17.9336	 -23.0108	 -21.3165	 -22.9246	 -17.2745	 -17.0499	 -20.3355
X62534	-14.5303	 -10.6746	 -14.9792	 -12.6885	 -13.7190	 -10.5181	 -15.8457	 -18.2290	 -18.8487	 -8.9654	 -15.7873	 -18.0195	 -19.7300	 -22.5564	 -15.3590	 -22.4746	 -16.6306	 -20.4239	 -19.0067	 -18.5958	 -16.2093	 -15.5604	 -17.4102	 -14.8390	 -15.4954	 -21.9042	 -17.1532	 -21.5800	 -22.9121	 -26.2759	 -18.8564	 -17.4365	 -15.4099	 -18.9883	 -18.9883	 -17.6124	 -21.4850	 -17.0984	 -21.0817	 -14.7783	 -17.3248	 -16.5228
M96739	-11.8580	 -9.8245	 -11.7351	 -14.5831	 -11.8152	 -6.7568	 -10.9254	 -14.8480	 -17.3850	 -7.2414	 -13.5515	 -15.1684	 -16.2468	 -17.7106	 -12.7641	 -17.8483	 -12.9599	 -16.8710	 -15.6374	 -15.2823	 -13.5712	 -13.5798	 -14.3902	 -12.6347	 -13.1388	 -17.1505	 -14.4444	 -16.7519	 -17.5843	 -18.4306	 -13.7400	 -12.3746	 -13.2713	 -13.5457	 -13.5457	 -13.1738	 -15.4978	 -14.5793	 -14.6926	 -10.9037	 -13.6423	 -12.6746
U26726	-8.0199	 -12.3044	 -8.4136	 -7.3551	 -10.8890	 -7.8260	 -8.7403	 -13.9918	 -10.3920	 -7.6440	 -12.3641	 -22.0142	 -20.3517	 -21.6397	 -13.4484	 -20.5728	 -13.3824	 -12.2793	 -23.3598	 -17.3593	 -7.8595	 -5.5112	 -6.6231	 -8.0656	 -6.9016	 -15.4158	 -8.9314	 -10.7380	 -10.0809	 -19.3205	 -19.8518	 -15.8387	 -11.9244	 -16.5761	 -16.5761	 -12.9375	 -24.1858	 -17.9001	 -18.3305	 -11.7265	 -16.5608	 -18.7317
HG311-HT311	-17.9288	 -19.7984	 -22.3277	 -23.4750	 -25.3654	 -19.3064	 -21.3279	 -21.3253	 -30.3838	 -19.4682	 -16.8747	 -15.5566	 -13.4905	 -23.6344	 -12.4273	 -18.0574	 -11.7691	 -18.1020	 -15.9476	 -14.7859	 -20.0152	 -19.2348	 -26.4407	 -12.5770	 -26.8743	 -21.3050	 -21.6314	 -20.2222	 -21.6326	 -40.8254	 -20.2757	 -25.8030	 -19.3941	 -23.4900	 -23.4900	 -19.6192	 -27.1509	 -26.9028	 -28.0479	 -20.3495	 -24.3417	 -23.3106
