Probe Name	 brain_MD_12	 brain_MD_61	 brain_MD_15	 brain_MD_57	 brain_MD_33	 brain_MD_64	 brain_MD_17	 brain_MD_62	 brain_MD_63	 brain_MD_32	 brain_MGlio_1	 brain_MGlio_2	 brain_MGlio_3	 brain_MGlio_4	 brain_MGlio_5	 brain_MGlio_6	 brain_MGlio_7	 brain_MGlio_8	 brain_MGlio_9	 brain_MGlio_10	 brain_Rhab_1	 brain_Rhab_2	 brain_Rhab_3	 brain_Rhab_4	 brain_Rhab_5	 brain_Rhab_6	 brain_Rhab_7	 brain_Rhab_8	 brain_Rhab_9	 brain_Rhab_10	 brain_Ncer_1	 brain_Ncer_2	 brain_Ncer_3	 brain_Ncer_4	 brain_PNET_1	 brain_PNET_2	 brain_PNET_3	 brain_PNET_4	 brain_PNET_5	 brain_PNET_6	 brain_PNET_7	 brain_PNET_8	 
M93119	368.8459	 313.2988	 171.0561	 151.0872	 331.7028	 137.8780	 287.3857	 176.4975	 477.7915	 110.1906	 571.5808	 763.3565	 1089.0377	 738.8628	 540.8616	 930.8865	 557.2469	 742.4042	 868.8345	 832.8916	 710.7564	 766.5388	 904.0896	 636.4198	 841.3408	 959.3358	 782.5974	 781.5002	 1075.0844	 1361.0305	 557.5640	 585.3725	 546.5430	 639.4412	 639.4412	 510.6845	 627.0123	 826.7523	 682.2323	 158.3208	 536.9848	 535.7760
M30448	38.9888	 108.0806	 109.7520	 60.7574	 97.9602	 41.8781	 62.1046	 111.4192	 74.5497	 46.8616	 145.7794	 251.2427	 227.4662	 285.9480	 140.4853	 187.0557	 125.7189	 161.0375	 266.4240	 248.3882	 57.7952	 49.2398	 66.7914	 42.0004	 37.4021	 193.2776	 63.2680	 100.6296	 115.1498	 307.8311	 205.0168	 192.9938	 151.9555	 134.4044	 134.4044	 125.8989	 229.8126	 147.9046	 136.6628	 102.7104	 171.1434	 153.8676
S82240	19.3915	 20.3189	 37.4459	 17.4847	 26.0715	 8.6899	 16.3662	 23.6914	 40.9709	 14.3913	 32.4245	 36.7261	 44.3882	 36.2220	 27.1808	 53.3581	 24.4114	 42.1778	 38.2184	 37.7270	 31.3089	 34.0129	 42.1659	 29.6297	 36.5811	 39.9896	 34.1197	 28.0851	 51.4427	 62.2515	 29.7131	 24.1260	 33.3106	 27.1516	 27.1516	 22.9317	 30.6202	 29.9769	 27.3089	 17.9077	 23.9284	 21.7198
D80004	65.7485	 113.6997	 109.2218	 82.6587	 106.2409	 48.0617	 89.8480	 147.8945	 165.0857	 59.2698	 114.4572	 209.4503	 259.0556	 197.6727	 161.2068	 328.0288	 148.9643	 241.4131	 181.1744	 203.3157	 87.3054	 82.8550	 94.8870	 103.6520	 99.9578	 264.6341	 143.6843	 226.1096	 188.8778	 377.3048	 146.6620	 158.3073	 144.7632	 151.9953	 151.9953	 119.0573	 202.5449	 105.0574	 224.3080	 87.9265	 107.9413	 160.5469
D76435	1198.2929	 265.5152	 222.4405	 238.0881	 379.7611	 233.8957	 168.4889	 90.5022	 510.6579	 141.6750	 1689.5938	 1929.8603	 1921.3522	 1474.3314	 1110.8471	 1747.9211	 1147.6894	 2057.2067	 2175.0046	 1942.4649	 1345.0762	 170.9846	 2283.2240	 182.8050	 1899.8391	 2696.5472	 1855.9281	 565.2201	 734.1598	 1411.6833	 343.5124	 415.3945	 153.0744	 1321.4646	 1321.4646	 1188.9084	 1657.0946	 614.5405	 1514.7773	 669.2796	 1120.1478	 1375.2769
X63543	196.5022	 317.8701	 292.1631	 335.5266	 498.3371	 141.1793	 246.0897	 404.0096	 531.2701	 188.9900	 505.2922	 619.2310	 839.6913	 795.8033	 419.4664	 699.2107	 369.9813	 518.8451	 731.9720	 652.0797	 232.7461	 184.5216	 231.5377	 218.2260	 189.1171	 540.1611	 261.2819	 466.7540	 376.8382	 908.0135	 433.8716	 504.8851	 605.8152	 398.9787	 398.9787	 305.9130	 507.9939	 434.8298	 504.1329	 283.4572	 276.0048	 395.0904
X62534	199.2936	 106.4456	 212.0314	 151.2416	 177.2924	 103.3038	 237.7586	 316.2566	 338.5262	 74.7685	 235.9797	 308.9016	 371.5207	 487.8047	 223.1255	 484.2183	 262.3595	 398.5918	 344.3290	 329.3450	 249.0027	 229.1223	 288.0084	 208.0115	 227.1772	 459.5544	 279.4173	 445.8289	 503.5706	 665.1733	 338.8084	 288.8956	 224.6321	 343.6509	 343.6509	 294.8588	 441.8458	 277.6030	 425.1427	 206.2809	 285.1392	 258.9082
M96739	131.7883	 89.9636	 129.0280	 200.7723	 130.8230	 42.4303	 111.5839	 208.2679	 287.1621	 48.6981	 172.9134	 217.5214	 250.1762	 298.2157	 153.0815	 302.9573	 157.8982	 270.1384	 231.4372	 220.8620	 173.4269	 173.6498	 195.4010	 149.9409	 162.3648	 279.3280	 196.9037	 266.2678	 293.9033	 323.4181	 177.8455	 143.7273	 165.7147	 172.7634	 172.7634	 163.2465	 227.2512	 200.6640	 203.8548	 111.1357	 175.2811	 150.9063
U26726	59.7409	 142.0750	 65.7826	 50.2362	 110.8301	 56.8776	 71.0306	 184.5444	 100.8080	 54.2586	 143.4790	 464.2596	 395.7307	 448.3423	 170.2483	 404.5239	 168.5495	 141.4844	 523.7765	 286.2959	 57.3675	 28.4427	 40.7832	 60.4266	 44.2551	 224.8085	 74.1970	 107.7326	 94.7837	 355.9963	 376.2041	 237.5455	 133.2943	 260.6118	 260.6118	 157.3427	 562.1020	 304.7507	 319.8524	 128.8360	 260.1196	 334.2640
HG311-HT311	305.7463	 374.1463	 477.8032	 529.0390	 619.1986	 355.4684	 435.3011	 435.1912	 893.2089	 361.5578	 270.2589	 229.0091	 171.3337	 536.3674	 144.9762	 310.2280	 129.7883	 311.7869	 240.8842	 206.4976	 382.5298	 352.7901	 673.6718	 148.5498	 696.2911	 434.3489	 447.9906	 390.6241	 448.0443	 1624.7319	 392.7287	 641.0878	 358.7642	 529.7278	 529.7278	 367.2866	 710.9190	 697.7905	 759.4029	 395.6431	 569.4881	 521.5356
X86693	1637.0236	 2064.5972	 1776.0584	 3033.1265	 2535.3885	 1396.5895	 1530.8390	 1837.5864	 3391.9058	 1419.9571	 422.6470	 1056.9802	 1101.9321	 660.4686	 629.9848	 644.8880	 580.3771	 2114.3401	 693.2059	 1182.2205	 673.4055	 2578.6831	 2584.6165	 333.2492	 2428.4971	 2774.3535	 1707.3428	 911.0314	 3723.0704	 3958.5625	 1414.6177	 1605.5337	 1502.4307	 1492.7863	 1492.7863	 1304.0663	 1443.3723	 2446.3352	 2217.8362	 975.8512	 1382.1165	 829.5938
M93426	529.3409	 762.7994	 654.2874	 652.3264	 783.1340	 426.4229	 549.5658	 639.2953	 1188.5861	 418.9400	 335.6173	 386.0538	 508.9769	 612.8179	 231.5186	 338.9921	 301.8195	 771.9190	 413.8363	 370.2881	 363.8613	 461.9936	 676.0614	 244.5130	 577.8924	 1191.5945	 658.8746	 506.3929	 691.2561	 1682.8896	 872.1668	 881.0361	 638.8429	 943.1162	 943.1162	 538.7311	 720.1997	 216.2479	 1150.3881	 574.4915	 755.2810	 429.6613
U48705	172.6735	 201.4693	 182.7588	 215.2020	 291.0735	 146.1673	 191.2892	 147.4914	 329.6472	 154.6658	 79.7050	 83.5235	 89.6570	 194.6378	 56.4459	 134.3658	 90.0245	 127.4956	 73.9701	 92.7012	 134.0780	 85.8305	 179.1649	 126.9113	 168.2755	 197.6977	 205.9795	 224.3949	 257.9918	 498.4375	 203.8804	 165.2334	 122.1353	 233.5273	 233.5273	 210.2830	 222.8990	 215.3506	 308.3016	 156.6184	 184.7708	 169.3451
X86809	494.0820	 707.8745	 475.9519	 1074.1451	 908.6831	 465.4972	 767.3990	 862.1770	 1018.8561	 474.0574	 282.3477	 307.0915	 288.2357	 777.9870	 240.0176	 294.2225	 198.8015	 693.1672	 327.7718	 306.3293	 296.9299	 933.4465	 906.7695	 239.2466	 538.4611	 1085.9561	 887.5802	 524.3959	 1051.9350	 1258.6204	 402.8538	 588.0682	 330.5121	 622.3619	 622.3619	 555.5048	 672.8669	 433.7570	 830.8898	 580.2611	 565.5434	 500.0282
U45955	122.5443	 191.3909	 272.6322	 245.6115	 243.2713	 105.6872	 174.7711	 220.5200	 385.6968	 137.4600	 126.9616	 145.0745	 135.2914	 304.3765	 95.4886	 190.8663	 100.3870	 140.9651	 198.4186	 177.4887	 131.1710	 89.2571	 126.4348	 56.6912	 59.2691	 216.2573	 121.1919	 181.5212	 201.8164	 427.9312	 298.9757	 189.0190	 124.7733	 409.1291	 409.1291	 145.6103	 278.8597	 133.4993	 301.2468	 129.3713	 174.4111	 114.7300
