Probe Name	 brain_MD_12	 brain_MD_61	 brain_MD_15	 brain_MD_57	 brain_MD_33	 brain_MD_64	 brain_MD_17	 brain_MD_62	 brain_MD_63	 brain_MD_32	 brain_MGlio_1	 brain_MGlio_2	 brain_MGlio_3	 brain_MGlio_4	 brain_MGlio_5	 brain_MGlio_6	 brain_MGlio_7	 brain_MGlio_8	 brain_MGlio_9	 brain_MGlio_10	 brain_Rhab_1	 brain_Rhab_2	 brain_Rhab_3	 brain_Rhab_4	 brain_Rhab_5	 brain_Rhab_6	 brain_Rhab_7	 brain_Rhab_8	 brain_Rhab_9	 brain_Rhab_10	 brain_Ncer_1	 brain_Ncer_2	 brain_Ncer_3	 brain_Ncer_4	 brain_PNET_1	 brain_PNET_2	 brain_PNET_3	 brain_PNET_4	 brain_PNET_5	 brain_PNET_6	 brain_PNET_7	 brain_PNET_8	 
M93119	790.0000	 6675.0000	 7837.0000	 7631.0000	 3739.0000	 5969.0000	 2608.0000	 13887.0000	 1933.0000	 9390.0000	 696.0000	 240.0000	 96.0000	 1983.0000	 552.0000	 291.0000	 207.0000	 674.0000	 450.0000	 47.0000	 41.0000	 88.0000	 79.0000	 119.0000	 -37.0000	 31.0000	 68.0000	 399.0000	 51.0000	 -185.0000	 1444.0000	 56.0000	 1202.0000	 -13.0000	 -13.0000	 20.0000	 -96.0000	 65.0000	 84.0000	 9280.0000	 -70.0000	 294.0000
M30448	9944.0000	 5030.0000	 4813.0000	 7465.0000	 5720.0000	 9830.0000	 6305.0000	 8312.0000	 8014.0000	 8885.0000	 2253.0000	 1753.0000	 3172.0000	 2420.0000	 1675.0000	 4140.0000	 2403.0000	 2967.0000	 1090.0000	 2129.0000	 5997.0000	 6872.0000	 5227.0000	 8719.0000	 8554.0000	 1933.0000	 6323.0000	 5507.0000	 3814.0000	 2747.0000	 3084.0000	 1061.0000	 2837.0000	 6128.0000	 6128.0000	 3399.0000	 2288.0000	 3626.0000	 7747.0000	 3429.0000	 2631.0000	 2308.0000
S82240	251.0000	 1026.0000	 128.0000	 1501.0000	 890.0000	 2447.0000	 1371.0000	 1740.0000	 174.0000	 1314.0000	 -117.0000	 -202.0000	 28.0000	 1340.0000	 -39.0000	 -72.0000	 141.0000	 161.0000	 217.0000	 -28.0000	 148.0000	 20.0000	 -67.0000	 -12.0000	 -2.0000	 93.0000	 2.0000	 855.0000	 -5.0000	 -65.0000	 115.0000	 0.0000	 -198.0000	 0.0000	 0.0000	 26.0000	 163.0000	 457.0000	 188.0000	 404.0000	 169.0000	 244.0000
D80004	2576.0000	 2254.0000	 3239.0000	 3849.0000	 3778.0000	 4958.0000	 2445.0000	 3023.0000	 1209.0000	 4612.0000	 2129.0000	 628.0000	 596.0000	 3459.0000	 354.0000	 371.0000	 526.0000	 473.0000	 2452.0000	 1099.0000	 1905.0000	 1517.0000	 1628.0000	 704.0000	 1413.0000	 131.0000	 799.0000	 484.0000	 770.0000	 135.0000	 2847.0000	 1189.0000	 1881.0000	 2002.0000	 2002.0000	 1131.0000	 538.0000	 3615.0000	 668.0000	 3292.0000	 3460.0000	 171.0000
D76435	353.0000	 21963.0000	 19446.0000	 13718.0000	 10505.0000	 10820.0000	 19803.0000	 69917.0000	 7262.0000	 21045.0000	 437.0000	 628.0000	 1444.0000	 4882.0000	 1578.0000	 1704.0000	 1197.0000	 665.0000	 824.0000	 451.0000	 606.0000	 11527.0000	 40.0000	 12861.0000	 136.0000	 45.0000	 125.0000	 6739.0000	 3251.0000	 5244.0000	 38498.0000	 32451.0000	 51538.0000	 1272.0000	 1272.0000	 475.0000	 1250.0000	 7359.0000	 1198.0000	 3875.0000	 1184.0000	 407.0000
X63543	1896.0000	 2060.0000	 2589.0000	 1287.0000	 696.0000	 3124.0000	 2165.0000	 2325.0000	 715.0000	 2469.0000	 408.0000	 573.0000	 197.0000	 330.0000	 763.0000	 32.0000	 945.0000	 775.0000	 374.0000	 413.0000	 1820.0000	 2172.0000	 1861.0000	 1750.0000	 2419.0000	 737.0000	 1551.0000	 1007.0000	 1360.0000	 140.0000	 722.0000	 249.0000	 224.0000	 649.0000	 649.0000	 576.0000	 577.0000	 1185.0000	 312.0000	 1910.0000	 455.0000	 900.0000
X62534	1064.0000	 17222.0000	 4465.0000	 6449.0000	 6942.0000	 6263.0000	 855.0000	 2158.0000	 1986.0000	 13177.0000	 1835.0000	 2900.0000	 1732.0000	 2231.0000	 2007.0000	 932.0000	 1197.0000	 842.0000	 2262.0000	 1955.0000	 1044.0000	 1569.0000	 447.0000	 1654.0000	 1237.0000	 256.0000	 603.0000	 644.0000	 376.0000	 511.0000	 1894.0000	 2564.0000	 2503.0000	 2876.0000	 2876.0000	 566.0000	 923.0000	 1958.0000	 1857.0000	 2119.0000	 1073.0000	 1174.0000
M96739	-439.0000	 1772.0000	 1108.0000	 -113.0000	 1011.0000	 3952.0000	 408.0000	 -1368.0000	 -215.0000	 3382.0000	 -383.0000	 -1436.0000	 -1602.0000	 -867.0000	 -688.0000	 -1183.0000	 -443.0000	 -775.0000	 -1698.0000	 -460.0000	 -527.0000	 -484.0000	 -582.0000	 -240.0000	 -534.0000	 -380.0000	 -516.0000	 -359.0000	 -107.0000	 -681.0000	 48.0000	 -1454.0000	 -1612.0000	 564.0000	 564.0000	 -66.0000	 423.0000	 -1048.0000	 -317.0000	 -94.0000	 -583.0000	 -169.0000
U26726	-37.0000	 -77.0000	 -14.0000	 -111.0000	 -189.0000	 -75.0000	 -76.0000	 -28.0000	 -40.0000	 -366.0000	 40.0000	 -152.0000	 -486.0000	 -82.0000	 -790.0000	 -557.0000	 -49.0000	 -222.0000	 -10.0000	 -51.0000	 44.0000	 44.0000	 -99.0000	 -70.0000	 -233.0000	 143.0000	 5.0000	 -40.0000	 30.0000	 -60.0000	 -212.0000	 -128.0000	 -163.0000	 -89.0000	 -89.0000	 -82.0000	 -432.0000	 -111.0000	 -554.0000	 -86.0000	 93.0000	 -34.0000
HG311-HT311	2564.0000	 5516.0000	 3032.0000	 1762.0000	 1700.0000	 1124.0000	 1947.0000	 6539.0000	 633.0000	 1927.0000	 8263.0000	 32565.0000	 40804.0000	 10131.0000	 25788.0000	 11420.0000	 20814.0000	 8105.0000	 31623.0000	 30014.0000	 2512.0000	 2120.0000	 645.0000	 10488.0000	 456.0000	 4050.0000	 1880.0000	 4179.0000	 2496.0000	 160.0000	 8062.0000	 2090.0000	 7059.0000	 1617.0000	 1617.0000	 1900.0000	 2298.0000	 1149.0000	 604.0000	 2421.0000	 577.0000	 1133.0000
