Probe Name	 brain_MD_12	 brain_MD_61	 brain_MD_15	 brain_MD_57	 brain_MD_33	 brain_MD_64	 brain_MD_17	 brain_MD_62	 brain_MD_63	 brain_MD_32	 brain_MGlio_1	 brain_MGlio_2	 brain_MGlio_3	 brain_MGlio_4	 brain_MGlio_5	 brain_MGlio_6	 brain_MGlio_7	 brain_MGlio_8	 brain_MGlio_9	 brain_MGlio_10	 brain_Rhab_1	 brain_Rhab_2	 brain_Rhab_3	 brain_Rhab_4	 brain_Rhab_5	 brain_Rhab_6	 brain_Rhab_7	 brain_Rhab_8	 brain_Rhab_9	 brain_Rhab_10	 brain_Ncer_1	 brain_Ncer_2	 brain_Ncer_3	 brain_Ncer_4	 brain_PNET_1	 brain_PNET_2	 brain_PNET_3	 brain_PNET_4	 brain_PNET_5	 brain_PNET_6	 brain_PNET_7	 brain_PNET_8	 
M93119	0.1724	 0.2025	 0.3370	 0.3815	 0.1915	 0.4180	 0.2159	 0.3289	 0.1415	 0.5197	 0.1226	 0.1038	 0.0818	 0.1041	 0.1283	 0.0911	 0.1276	 0.1041	 0.0957	 0.0970	 0.1063	 0.1014	 0.0919	 0.1146	 0.0966	 0.0885	 0.1017	 0.1016	 0.0832	 0.0749	 0.1266	 0.1236	 0.1291	 0.1158	 0.1158	 0.1349	 0.1177	 0.0969	 0.1097	 0.3617	 0.1307	 0.1310
M30448	0.6624	 0.2485	 0.2458	 0.4237	 0.2722	 0.6139	 0.4121	 0.2419	 0.3456	 0.5507	 0.1975	 0.1396	 0.1507	 0.1310	 0.2023	 0.1640	 0.2242	 0.1839	 0.1357	 0.1397	 0.4463	 0.5305	 0.3861	 0.6223	 0.6844	 0.1648	 0.4096	 0.2647	 0.2361	 0.1265	 0.1542	 0.1628	 0.1947	 0.2084	 0.2084	 0.2222	 0.1471	 0.1970	 0.2063	 0.2607	 0.1744	 0.1905
S82240	0.6661	 0.6540	 0.3970	 0.7323	 0.5315	 1.3972	 0.7783	 0.5728	 0.3727	 0.8840	 0.4472	 0.4017	 0.3465	 0.4046	 0.5144	 0.3022	 0.5593	 0.3539	 0.3903	 0.3891	 0.4610	 0.4301	 0.3619	 0.4805	 0.4023	 0.3711	 0.4213	 0.4963	 0.3071	 0.2771	 0.4754	 0.5650	 0.4332	 0.5122	 0.5122	 0.5870	 0.4697	 0.4829	 0.5152	 0.7220	 0.5623	 0.6189
D80004	0.5017	 0.2981	 0.3092	 0.4083	 0.3151	 0.7021	 0.3837	 0.2344	 0.2143	 0.5491	 0.2914	 0.1773	 0.1524	 0.1860	 0.2180	 0.1281	 0.2364	 0.1601	 0.2014	 0.1846	 0.3892	 0.3987	 0.3568	 0.3255	 0.3405	 0.1503	 0.2436	 0.1687	 0.1923	 0.1222	 0.2349	 0.2205	 0.2391	 0.2292	 0.2292	 0.2850	 0.1858	 0.3195	 0.1679	 0.3868	 0.3143	 0.2188
D76435	0.0849	 0.2717	 0.3241	 0.2981	 0.1963	 0.3016	 0.4178	 0.7026	 0.1534	 0.4839	 0.0707	 0.0661	 0.0661	 0.0759	 0.0874	 0.0687	 0.0861	 0.0637	 0.0629	 0.0663	 0.0784	 0.4124	 0.0624	 0.3848	 0.0667	 0.0594	 0.0671	 0.1418	 0.1165	 0.0767	 0.2156	 0.1814	 0.4584	 0.0794	 0.0794	 0.0850	 0.0705	 0.1344	 0.0751	 0.1252	 0.0883	 0.0781
X63543	0.3457	 0.2228	 0.2388	 0.2160	 0.1520	 0.4689	 0.2830	 0.1844	 0.1458	 0.3600	 0.1524	 0.1275	 0.1040	 0.1068	 0.1755	 0.1170	 0.1967	 0.1484	 0.1134	 0.1240	 0.2936	 0.3612	 0.2951	 0.3152	 0.3537	 0.1398	 0.2658	 0.1596	 0.1939	 0.0975	 0.1701	 0.1513	 0.1292	 0.1830	 0.1830	 0.2287	 0.1532	 0.1723	 0.1494	 0.2470	 0.2560	 0.1850
X62534	0.2297	 0.4061	 0.2221	 0.2923	 0.2563	 0.4205	 0.2001	 0.1601	 0.1501	 0.5733	 0.2032	 0.1623	 0.1379	 0.1175	 0.2140	 0.1189	 0.1846	 0.1341	 0.1496	 0.1529	 0.1918	 0.2065	 0.1712	 0.2235	 0.2102	 0.1215	 0.1763	 0.1238	 0.1157	 0.0976	 0.1506	 0.1715	 0.2099	 0.1499	 0.1499	 0.1685	 0.1274	 0.1785	 0.1284	 0.2249	 0.1724	 0.1833
M96739	0.4587	 0.6442	 0.4688	 0.3090	 0.4634	 1.4268	 0.5325	 0.3021	 0.2214	 1.2059	 0.3536	 0.2879	 0.2557	 0.2149	 0.3959	 0.2098	 0.3879	 0.2315	 0.2712	 0.2849	 0.3562	 0.3576	 0.3170	 0.4064	 0.3795	 0.2280	 0.3168	 0.2379	 0.2178	 0.1998	 0.3480	 0.4300	 0.3683	 0.3565	 0.3565	 0.3726	 0.2747	 0.3110	 0.3013	 0.5277	 0.3527	 0.4050
U26726	0.5710	 0.2450	 0.5254	 0.6692	 0.3068	 0.6052	 0.4747	 0.1981	 0.3400	 0.6292	 0.2413	 0.1093	 0.1166	 0.1112	 0.2116	 0.1168	 0.2140	 0.2477	 0.1035	 0.1466	 0.6023	 1.1935	 0.8183	 0.5726	 0.7485	 0.1747	 0.4632	 0.3141	 0.3609	 0.1255	 0.1226	 0.1651	 0.2594	 0.1518	 0.1518	 0.2241	 0.0989	 0.1375	 0.1357	 0.2688	 0.1544	 0.1301
HG311-HT311	0.2155	 0.1823	 0.1517	 0.1399	 0.1229	 0.1906	 0.1615	 0.1603	 0.0977	 0.1867	 0.2421	 0.2897	 0.3910	 0.1381	 0.4502	 0.2167	 0.5051	 0.2141	 0.2733	 0.3238	 0.1802	 0.1925	 0.1175	 0.4419	 0.1145	 0.1593	 0.1562	 0.1758	 0.1555	 0.0717	 0.1739	 0.1211	 0.1887	 0.1388	 0.1388	 0.1860	 0.1142	 0.1147	 0.1095	 0.1740	 0.1316	 0.1397
